timestamp,step,tokens_seen,split,loss
1785882977.1562629,35525,145794600,train,4.317560
1785882982.1297839,35550,145897200,train,4.187252
1785882986.9468372,35575,145999800,train,4.285868
1785882991.7456253,35600,146102400,train,4.146660
1785883009.4616296,35625,146205000,train,4.230564
1785883014.072753,35650,146307600,train,4.289253
1785883018.8742497,35675,146410200,train,4.190064
1785883023.5987844,35700,146512800,train,4.268050
1785883041.5960124,35725,146615400,train,4.252751
1785883046.1922698,35750,146718000,train,4.209626
1785883047.3568652,35750,146718000,eval,4.115559
1785883051.9880393,35775,146820600,train,4.303322
1785883056.5459273,35800,146923200,train,4.285353
1785883074.6565123,35825,147025800,train,4.204997
1785883079.5224466,35850,147128400,train,4.234217
1785883084.4197035,35875,147231000,train,4.234986
1785883089.242835,35900,147333600,train,4.269245
1785883106.9059632,35925,147436200,train,4.314299
1785883111.5589187,35950,147538800,train,4.295235
1785883116.172041,35975,147641400,train,4.224685
1785883120.7599258,36000,147744000,train,4.229685
1785883121.9710414,36000,147744000,eval,4.113272
1785883139.3938856,36025,147846600,train,4.209484
1785883144.217634,36050,147949200,train,4.448780
1785883148.8666708,36075,148051800,train,4.269081
1785883153.5162373,36100,148154400,train,4.261637
1785883171.044441,36125,148257000,train,4.282370
1785883175.6696208,36150,148359600,train,4.266242
1785883180.3875637,36175,148462200,train,4.216498
1785883185.126523,36200,148564800,train,4.278321
1785883234.3853161,36225,148667400,train,4.288922
1785883239.0206816,36250,148770000,train,4.291332
1785883240.3067865,36250,148770000,eval,4.112205
1785883245.5346088,36275,148872600,train,4.193753
1785883250.2638457,36300,148975200,train,4.194893
1785883267.074086,36325,149077800,train,4.290425
1785883271.7971501,36350,149180400,train,4.147231
1785883276.3450506,36375,149283000,train,4.289736
1785883281.305603,36400,149385600,train,4.286769
1785883300.1178281,36425,149488200,train,4.268187
1785883304.7230914,36450,149590800,train,4.433734
1785883309.543055,36475,149693400,train,4.205446
1785883315.3353817,36500,149796000,train,4.296664
1785883316.2362266,36500,149796000,eval,4.112597
1785883332.4973874,36525,149898600,train,4.327498
1785883336.0147078,36550,150001200,train,4.308602
1785883339.5639484,36575,150103800,train,4.279889
1785883343.1164637,36600,150206400,train,4.257222
1785883359.7273107,36625,150309000,train,4.276055
1785883363.4691665,36650,150411600,train,4.121833
1785883367.292813,36675,150514200,train,4.243365
1785883371.0372653,36700,150616800,train,4.232576
1785883387.1405246,36725,150719400,train,4.229063
1785883390.9840472,36750,150822000,train,4.178283
1785883391.9174798,36750,150822000,eval,4.109416
1785883395.6414173,36775,150924600,train,4.265765
1785883399.4416947,36800,151027200,train,4.234071
1785883415.952814,36825,151129800,train,4.291683
1785883419.6877992,36850,151232400,train,4.292543
1785883423.4875958,36875,151335000,train,4.401285
1785883427.289065,36900,151437600,train,4.327457
1785883443.7304094,36925,151540200,train,4.348481
1785883447.5536811,36950,151642800,train,4.235410
1785883451.3256319,36975,151745400,train,4.205367
1785883455.0315006,37000,151848000,train,4.361258
1785883455.9753764,37000,151848000,eval,4.109911
1785883472.495399,37025,151950600,train,4.395809
1785883476.3390033,37050,152053200,train,4.380616
1785883479.899254,37075,152155800,train,4.522432
1785883483.4797258,37100,152258400,train,4.583715
1785883499.4721587,37125,152361000,train,4.386834
1785883503.0505407,37150,152463600,train,4.242224
1785883506.6596475,37175,152566200,train,4.312565
1785883510.2317605,37200,152668800,train,4.276412
1785883525.9587746,37225,152771400,train,4.288948
1785883529.6375582,37250,152874000,train,4.409504
1785883530.5238006,37250,152874000,eval,4.105746
1785883534.0737715,37275,152976600,train,4.278093
1785883537.6354327,37300,153079200,train,4.275973
1785883553.6543357,37325,153181800,train,4.344769
1785883557.211868,37350,153284400,train,4.259551
1785883560.806537,37375,153387000,train,4.260138
1785883564.360558,37400,153489600,train,4.304898
1785883580.0540361,37425,153592200,train,4.437683
1785883583.6102817,37450,153694800,train,4.277079
1785883587.1843188,37475,153797400,train,4.314739
1785883590.7772343,37500,153900000,train,4.289174
1785883591.6667209,37500,153900000,eval,4.104729
1785883607.5248506,37525,154002600,train,4.289524
1785883611.0892966,37550,154105200,train,4.331650
1785883614.6407785,37575,154207800,train,4.367526
1785883618.2319388,37600,154310400,train,4.179568
1785883634.0991232,37625,154413000,train,4.223002
1785883637.6572905,37650,154515600,train,4.298657
1785883641.2551737,37675,154618200,train,4.334106
1785883644.8211296,37700,154720800,train,4.285891
1785883662.5162601,37725,154823400,train,4.293650
1785883666.0984385,37750,154926000,train,4.287409
1785883666.9859266,37750,154926000,eval,4.103237
1785883670.6085145,37775,155028600,train,4.348690
1785883674.1692,37800,155131200,train,4.303460
1785883690.4848912,37825,155233800,train,4.472485
1785883694.067471,37850,155336400,train,4.336762
1785883697.6235209,37875,155439000,train,4.346016
1785883701.2262619,37900,155541600,train,4.439551
1785883717.4267457,37925,155644200,train,4.281778
1785883720.9955041,37950,155746800,train,4.313460
1785883724.5719757,37975,155849400,train,4.369903
1785883728.1532357,38000,155952000,train,4.242823
1785883729.046201,38000,155952000,eval,4.102746
1785883745.0923119,38025,156054600,train,4.267772
1785883748.7263925,38050,156157200,train,4.438482
1785883752.4690878,38075,156259800,train,4.317218
1785883756.0390503,38100,156362400,train,4.288010
1785883772.1368594,38125,156465000,train,4.270921
1785883775.6999004,38150,156567600,train,4.190644
1785883779.2651675,38175,156670200,train,4.189919
1785883782.8391821,38200,156772800,train,4.324175
1785883798.8906136,38225,156875400,train,4.375174
1785883802.477163,38250,156978000,train,4.255983
1785883803.394382,38250,156978000,eval,4.101512
1785883806.978168,38275,157080600,train,4.377562
1785883810.5239038,38300,157183200,train,4.300042
1785883826.5572805,38325,157285800,train,4.346900
1785883830.202803,38350,157388400,train,4.262402
1785883833.8004482,38375,157491000,train,4.323533
1785883837.388611,38400,157593600,train,4.481638
1785883853.3583155,38425,157696200,train,4.348434
1785883856.957208,38450,157798800,train,4.285346
1785883860.5382476,38475,157901400,train,4.192046
1785883864.1329257,38500,158004000,train,4.287122
1785883865.01968,38500,158004000,eval,4.100310
1785883880.8982625,38525,158106600,train,4.256409
1785883884.5242834,38550,158209200,train,4.349667
1785883888.084255,38575,158311800,train,4.160266
1785883891.6557102,38600,158414400,train,4.343819
1785883907.6526,38625,158517000,train,4.277243
